Наименование товара,Цена,Минимальная цена,Размерная сетка,Ссылка на файл фотографии,,,,,,,,,,,,,,
Синий костюм с худи и штанами,6990.0,5990.0,55-75кг,"https://sun9-81.userapi.com/s/v1/ig2/OVlTYSif_jFfUorPq3LdL4GEwGfgPUVlCkN1cmCi14nimDXkhzmHv_sIBs7fpUaL0nagDI-y-x-chWllUDY9xC-T.jpg?quality=95&as=32x48,48x72,72x108,108x162,160x240,240x360,360x540,480x720,540x810,640x960,720x1080,1080x1620,1280x1920,1440x2160,1707x2560&from=bu&cs=1707x0",,,,,,,,,,,,,,
Черный костюм с худи и штанами,6990.0,5990.0,85-100кг,"https://sun9-17.userapi.com/s/v1/ig2/mTyfZ3UiVVQVzh9QKLUCCxxapE3_qJNjqLKN5R1DDhFqgBynJQ8nOJuJQkCNr1lyaz9oSh8Xn5lcpTW09reQRlOL.jpg?quality=95&as=32x48,48x72,72x108,108x162,160x240,240x360,360x540,480x720,540x810,640x960,720x1080,1080x1620,1280x1920,1440x2160,1707x2560&from=bu&cs=1707x0",,,,,,,,,,,,,,
Костюм рубашка и брюки зеленый,6990.0,5990.0,55-100кг,"https://sun9-13.userapi.com/s/v1/ig2/MDDWfapBkHc3KQQj_bPJ13MpAPgYpDBfqkFNpYkM4QX5DsRkYHxp621mYahHKU2kFxSuXWdiHI-ZkQhqemwWuwu0.jpg?quality=95&as=32x48,48x72,72x108,108x162,160x240,240x360,360x540,480x720,540x810,640x960,720x1080,1080x1620,1280x1920,1440x2160,1707x2560&from=bu&cs=1707x0",,,,,,,,,,,,,,
Костюм рубашка и брюки синий,6990.0,5990.0,55-95кг,"https://sun9-73.userapi.com/s/v1/ig2/62iqd9czZXCHU3wpqFFHBBU9-15aSpSRWpbTe7PEs1LcDZkqVftW5H5O824HuD33P9o5kyDgwhlFCUT8SNfdiPec.jpg?quality=95&as=32x48,48x72,72x108,108x162,160x240,240x360,360x540,480x720,540x810,640x960,720x1080,1080x1620,1280x1920,1440x2160,1707x2560&from=bu&cs=1707x0",,,,,,,,,,,,,,
Костюм рубашка и брюки серый,6990.0,5990.0,55-100кг,"https://sun9-11.userapi.com/s/v1/ig2/836_FWr9MhhMRgrP8u-NGmrlZgu6CmTGRudEoiMxIm1kh02h6Kqfu3nlFLGFKX4OZjR6Bap5_ZNH7E-xWsPFOpDb.jpg?quality=95&as=32x48,48x72,72x108,108x162,160x240,240x360,360x540,480x720,540x810,640x960,720x1080,1080x1620,1280x1920,1440x2160,1707x2560&from=bu&cs=1707x0",,,,,,,,,,,,,,
Костюм рубашка и брюки черный,6990.0,5990.0,55-85кг,"https://sun9-58.userapi.com/s/v1/ig2/jZOtzJWifOfYAlCnoKLinBU8HsgRuU9D_7wfw7ekGdlVVilZckb0I1sfTXVRYloNqncFDw7Obk0BA1gv0IZ9leVZ.jpg?quality=95&as=32x48,48x72,72x108,108x162,160x240,240x360,360x540,480x720,540x810,640x960,720x1080,1080x1620,1280x1920,1440x2160,1707x2560&from=bu&cs=1707x0",,,,,,,,,,,,,,
Бежевый костюм Hemilton,8990.0,7990.0,50-60кг и 83-140кг (60-83 - нет размеров),https://sun9-76.userapi.com/impg/cdXmmH5a-ZPvr40sZB4mCyVrsKiPtJdlwiGjhg/ITRY1C9lUEk.jpg?size=1440x2160&quality=95&sign=a69720109b9eb8ea0fc8c26e609f51d5&type=album,,,,,,,,,,,,,,
Белая кепка,2990.0,2590.0,Один размер,"https://sun9-47.userapi.com/s/v1/ig2/7OvqeO5NIHanoCw6dG8UHrReaVkuER27QEWChS9uLT52Da3ENfPaeyIPLRnr8tb5G0rgNuHn1kyjsYBe7Y95wzIG.jpg?quality=95&as=32x45,48x67,72x101,108x152,160x225,240x337,360x505,480x674,540x758,640x898,720x1011,912x1280&from=bu&cs=912x1280",,,,,,,,,,,,,,
Черная кепка,2990.0,2590.0,Один размер,"https://sun9-77.userapi.com/s/v1/ig2/NeOD0v5Smu65VqmZ6mLqi_98Kh-H-_fpyC8SWZHDe1OqAQE6yWGQmeIYHXnN9Lfo_JhodD587WyurOZpMzQMg4Nm.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,900x1200&from=bu&cs=900x0",,,,,,,,,,,,,,
Кепка камуфляжная,2990.0,2590.0,Один размер,"https://sun9-7.vkuserphoto.ru/s/v1/ig2/pieEcL_9PBlyu5d3zf_FX3-uBYUhlyyU4Pir6drwerNkHpLJxcvCQWMLosWDoToVdkFdZU2w_x--bQ5iA0tT9Fkb.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1920x2560&from=bu&cs=1920x0",,,,,,,,,,,,,,
Кепка с гербом РФ,2990.0,2590.0,Один размер,"https://sun9-62.userapi.com/s/v1/ig2/mPpYJCTSijVAIDJ_K22IKltQa6u1gjO6khpvh_dJOcgpNl12zTJHRMA5uiu_xY1ggu-QPMFbrSOYerNweay7pVOE.jpg?quality=95&as=32x39,48x58,72x88,108x131,160x195,240x292,360x438,379x461&from=bu&u=1UEbdX7dQhtsPKml1EVTMSOaVew5LJf058IC_cNNi08&cs=379x0",,,,,,,,,,,,,,
Черные кеды,990.0,990.0,44 и 45 размер,https://sun9-45.userapi.com/impg/xnzuAs4SZjbA4u5QpnyEwtz32lY8sE3tGdcqTg/o-QesrVDLnY.jpg?size=1620x2160&quality=95&sign=7eca9d3a7000a9924f794e48fd9ef0d3&type=album,,,,,,,,,,,,,,
Белые кеды,990.0,990.0,44 и 45 размер,https://sun9-5.userapi.com/impg/BfszT6wLd4ow-sEB85b0Mz2xbfws5iYtZ7LucA/pYOU9U2B6oc.jpg?size=1828x2160&quality=95&sign=d08029aa91c99283903737d144778ae2&type=album,,,,,,,,,,,,,,
Черные носки,890.0,890.0,Один размер,https://avatars.mds.yandex.net/get-mpic/5363183/img_id6952327206234474135.png/orig,,,,,,,,,,,,,,
Белые носки,890.0,890.0,Один размер,https://main-cdn.sbermegamarket.ru/big1/hlr-system/526/229/535/113/183/8/600002629442b0.jpeg,,,,,,,,,,,,,,
Рюкзак,5990.0,5490.0,,"https://sun9-81.userapi.com/s/v1/ig2/OGFMxpoyei5vJBudoJLniBJYbiAFomweh73lYYTbX38muh1_UfBrlRPBhlLC_9_2x5umJwvnZz7f49w9DjGRhVNq.jpg?quality=95&as=32x43,48x64,72x96,108x145,160x214,240x321,360x482,480x643,540x723,640x857,720x964,896x1200&from=bu&u=gq47mnE5p5HhuozyOViH_h3GUP49jpQlxyiD6yqUnTQ&cs=896x0",,,,,,,,,,,,,,
"Герб на спине + надпись ""Мы русские с нами бог"" - вышивка",7990.0,7990.0,,"https://sun4-20.userapi.com/s/v1/ig2/vO895vepgmHL37V4ssnvBD0fAIzpUleqE9MClOLOf0lcyKzAZ4EYYq3JHrFbQVHLillh96uDD0gPo9AxGFPrrEsq.jpg?quality=95&as=32x44,48x65,72x98,108x147,160x218,240x327,360x491,480x655,540x737,640x873,720x982,966x1318&from=bu&cs=966x0",,,,,,,,,,,,,,
Герб на спине + одно слово - вышивка,7990.0,7990.0,,"https://sun9-45.userapi.com/s/v1/ig2/sNzdBbWrw8Z7L3oroaD44maMf0b67JSbMn0HXvqHCJN6TbaxOwnZmc8c5ebml6fg2p8-uzGqJt0hFeW0JQc4hbrj.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,960x1280&from=bu&cs=960x0",,,,,,,,,,,,,,
Герб на груди - вышивка,3490.0,3490.0,,"https://sun9-82.userapi.com/s/v1/ig2/1NXH7DTXYZlbp2564pW1fvL5wegOsfCcG6eV2-MNRWRt8mhSpEYyi_HyeV1AwXr59qk7uLCt63qZ-0OKa9NOq0p8.jpg?quality=95&as=32x51,48x76,72x114,108x171,160x253,240x380,360x570,480x760,525x831&from=bu&cs=525x0",,,,,,,,,,,,,,
Герб на спине - вышивка,6490.0,6490.0,,"https://sun4-19.userapi.com/s/v1/ig2/qqoxX_QL1YeRDkow63m6Gv99KXhakbqdvPBkF-3TD4dO-JrloGzVpWnS2l-Fm9x3N56Sn3bBJY3ESjv10y2oRXv8.jpg?quality=95&as=32x64,48x96,72x144,108x217,160x321,240x481,360x722,480x963,505x1013&from=bu&cs=505x0",,,,,,,,,,,,,,
Флаг РФ - вышивка,2490.0,2490.0,,"https://sun9-13.userapi.com/s/v1/ig2/Y97TspMlkcTFNQmVS-ION98mvsNc5yKlXmGBlzSM5qiOITvmqL1Q73F7pOJMUwMp764uGeGyt9naLreG14z60rpE.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,960x1280&from=bu&cs=960x0",,,,,,,,,,,,,,
"Надпись ""Россия"" - вышивка",5290.0,5290.0,,"https://sun9-3.userapi.com/s/v1/ig2/awQ_rTzMXclHw3aOw77TKgQZobR1_OK3AZv5SLlEk4cCxOmBSLvGjh9hNlmwaY_kAUKPCF0cIDp6mz9EIxqfxPqO.jpg?quality=95&as=32x58,48x87,72x130,108x195,160x289,240x434,360x650,480x867,496x896&from=bu&cs=496x0",,,,,,,,,,,,,,
Персональная вышивка,10990.0,10990.0,,,,,,,,,,,,,,,,
